title,company,location,link,description,status,notes
"Application Software Engineer, Data",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7557005002?gh_jid=7557005002,,applied,Manually submitted through automated process
Automation and Test Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7630561002?gh_jid=7630561002,,applied,Manually submitted through automated process
Backend Software Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7696772002?gh_jid=7696772002,,applied,Manually submitted through automated process
DSP Engineer (Starshield),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7847618002?gh_jid=7847618002,,applied,Manually submitted through automated process
"Embedded Software Engineer, Customer Hardware (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7843455002?gh_jid=7843455002,,applied,Manually submitted through automated process
FPGA Engineer (Starshield),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7818503002?gh_jid=7818503002,,applied,Manually submitted through automated process
FPGA Engineer (Starship Electronics),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7858926002?gh_jid=7858926002,,applied,Manually submitted through automated process
GNC DevOps Engineer (Falcon),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7459513002?gh_jid=7459513002,,applied,Manually submitted through automated process
GNC Site Reliability Engineer (Falcon),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7584743002?gh_jid=7584743002,,applied,Manually submitted through automated process
Lead Software Engineer (Full Stack) - Build Reliability,SpaceX,,https://boards.greenhouse.io/spacex/jobs/7795166002?gh_jid=7795166002,,applied,Manually submitted through automated process
Operations Development Engineer (Starlink Network),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7862787002?gh_jid=7862787002,,applied,Manually submitted through automated process
RF Silicon Software Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7745861002?gh_jid=7745861002,,applied,Manually submitted through automated process
RF Software Engineer (Starshield),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7686416002?gh_jid=7686416002,,applied,Manually submitted through automated process
"RF Software Engineer, Customer Hardware (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7795372002?gh_jid=7795372002,,applied,Manually submitted through automated process
Security Software Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7775377002?gh_jid=7775377002,,applied,Manually submitted through automated process
Security Software Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7775367002?gh_jid=7775367002,,applied,Manually submitted through automated process
Security Software Engineer (Starshield),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7893396002?gh_jid=7893396002,,applied,Manually submitted through automated process
Site Reliability Engineer (Application Software),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7744503002?gh_jid=7744503002,,applied,Manually submitted through automated process
Site Reliability Engineer (Information Technology),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7815362002?gh_jid=7815362002,,applied,Manually submitted through automated process
"Site Reliability Engineer, Data (Application Software)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7682639002?gh_jid=7682639002,,applied,Manually submitted through automated process
Software Engineer (Direct To Cell),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7766402002?gh_jid=7766402002,,applied,Manually submitted through automated process
Software Engineer (Dynamics),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7795736002?gh_jid=7795736002,,applied,Manually submitted through automated process
Software Engineer (Full Stack) - Build Reliability,SpaceX,,https://boards.greenhouse.io/spacex/jobs/7795193002?gh_jid=7795193002,,applied,Manually submitted through automated process
Software Engineer (GNC),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7864776002?gh_jid=7864776002,,applied,Manually submitted through automated process
Software Engineer (Ground Segment),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7904069002?gh_jid=7904069002,,applied,Manually submitted through automated process
Software Engineer (Starshield),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7690206002?gh_jid=7690206002,,applied,Manually submitted through automated process
"Software Engineer II, C++ (Starshield)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7471046002?gh_jid=7471046002,,applied,Manually submitted through automated process
"Software Engineer, Beam Planning (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7774907002?gh_jid=7774907002,,applied,Manually submitted through automated process
"Software Engineer, C++ (Dragon)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7781740002?gh_jid=7781740002,,applied,Manually submitted through automated process
"Software Engineer, C++ (Nondestructive Evaluation)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7692130002?gh_jid=7692130002,,applied,Manually submitted through automated process
"Software Engineer, Components Test (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7835745002?gh_jid=7835745002,,applied,Manually submitted through automated process
"Software Engineer, Computer Vision",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7815408002?gh_jid=7815408002,,applied,Manually submitted through automated process
"Software Engineer, Design Software (Starship Reliability)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7806006002?gh_jid=7806006002,,applied,Manually submitted through automated process
"Software Engineer, Design Software (Starship Reliability)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7896414002?gh_jid=7896414002,,applied,Manually submitted through automated process
"Software Engineer, Developer Tools (Application Software)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7744512002?gh_jid=7744512002,,applied,Manually submitted through automated process
"Software Engineer, Displays Software (Starship)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7824834002?gh_jid=7824834002,,applied,Manually submitted through automated process
"Software Engineer, Flight Software (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7802057002?gh_jid=7802057002,,applied,Manually submitted through automated process
"Software Engineer, Flight Software (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7527170002?gh_jid=7527170002,,applied,Manually submitted through automated process
"Software Engineer, Flight Software (Starship)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7839907002?gh_jid=7839907002,,applied,Manually submitted through automated process
"Software Engineer, Flight Software (Starship)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7839853002?gh_jid=7839853002,,applied,Manually submitted through automated process
"Software Engineer, Hardware & Test Automation (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7707420002?gh_jid=7707420002,,applied,Manually submitted through automated process
"Software Engineer, Hardware Test & Automation (Starlink Subassemblies)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7854391002?gh_jid=7854391002,,applied,Manually submitted through automated process
"Software Engineer, High Performance Computing",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7858987002?gh_jid=7858987002,,applied,Manually submitted through automated process
"Software Engineer, Starlink Network",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7774921002?gh_jid=7774921002,,applied,Manually submitted through automated process
"Software Engineer, Starlink Network",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7774929002?gh_jid=7774929002,,applied,Manually submitted through automated process
"Software Engineer, Starship Manufacturing & Site Development (Application Software)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7664117002?gh_jid=7664117002,,applied,Manually submitted through automated process
Software Infrastructure Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7777552002?gh_jid=7777552002,,applied,Manually submitted through automated process
Software Infrastructure Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7600955002?gh_jid=7600955002,,applied,Manually submitted through automated process
Sr. Application Software Engineer,SpaceX,,https://boards.greenhouse.io/spacex/jobs/7794529002?gh_jid=7794529002,,applied,Manually submitted through automated process
"Software Engineer, Simulations (Application Software)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7641287002?gh_jid=7641287002,,applied,Manually submitted through automated process
Sr. Backend Software Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7696817002?gh_jid=7696817002,,applied,Manually submitted through automated process
"Sr. Embedded Software Engineer, Customer Hardware (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7843468002?gh_jid=7843468002,,applied,Manually submitted through automated process
Sr. FPGA Engineer (Starshield),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7818533002?gh_jid=7818533002,,applied,Manually submitted through automated process
Sr. GNC DevOps Engineer (Falcon),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7459465002?gh_jid=7459465002,,applied,Manually submitted through automated process
Sr. GNC Site Reliability Engineer (Falcon),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7584744002?gh_jid=7584744002,,applied,Manually submitted through automated process
Sr. Network Systems Engineer (Starlink) – Lawful Intercept,SpaceX,,https://boards.greenhouse.io/spacex/jobs/7774889002?gh_jid=7774889002,,applied,Manually submitted through automated process
Sr. RF Silicon Software Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7746379002?gh_jid=7746379002,,applied,Manually submitted through automated process
"Sr. RF Software Engineer, Customer Hardware (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7795376002?gh_jid=7795376002,,applied,Manually submitted through automated process
Sr. Security Software Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7775358002?gh_jid=7775358002,,applied,Manually submitted through automated process
Sr. Security Software Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7775351002?gh_jid=7775351002,,applied,Manually submitted through automated process
Sr. Security Software Engineer (Starshield),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7761579002?gh_jid=7761579002,,applied,Manually submitted through automated process
"Sr. Site Reliability Engineer, Data (Application Software)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7682668002?gh_jid=7682668002,,applied,Manually submitted through automated process
