title,company,location,link,description,status,notes
"Software Engineer, Autonomy Platform - Helix Team  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4345059006,,to_apply,
"Teleop Software Engineer - Helix Team  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4289513006,,to_apply,
"Accounts Payable Specialist  San Jose, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4436106006,,to_apply,
"Head of Investor Relations  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4420462006,,to_apply,
"Commercial Associate  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4450134006,,to_apply,
"Director, Commercial Accounts  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4425318006,,to_apply,
"Principal Technical Product Manager  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4425614006,,to_apply,
"Senior Controls Engineer, State Estimation  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4399633006,,to_apply,
"Senior Motion Planning and Navigation Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4007366006,,to_apply,
"Senior Robotics Software Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4303968006,,to_apply,
"Simulation Engineer, Controls  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4434450006,,to_apply,
"Staff Robotics Manipulation Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4423079006,,to_apply,
"Staff Software Engineer - 3D Graphics Applications  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4343897006,,to_apply,
"Deployment IT Infrastructure Manager  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4414816006,,to_apply,
"Fleet Operations, Site Lead - Customer Site  Spartanburg, SC",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4441522006,,to_apply,
"Fleet Service Technician  Spartanburg, SC",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4435650006,,to_apply,
"Humanoid Robot Operations Associate  Spartanburg, SC",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4436200006,,to_apply,
"Humanoid Robot Operator  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4406268006,,to_apply,
"Manager, Fleet Operations  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4418705006,,to_apply,
"Manager, Fleet Operations - Customer Site  Spartanburg, SC, with some travel to Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4413849006,,to_apply,
"Intern, Teleop ControlsNew  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4452489006,,to_apply,
"Mechanical Engineer - All Levels  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4410831006,,to_apply,
"Mechanical Engineer Intern  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4303098006,,to_apply,
"Mechanical Engineer, New Graduate  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4415621006,,to_apply,
"Motor Test Intern  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4412524006,,to_apply,
"Senior Battery Abuse Test Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4418918006,,to_apply,
"Senior Mechanical Engineer, Charging Systems  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4432449006,,to_apply,
"Senior Reliability Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4413916006,,to_apply,
"Senior Reliability Test Engineer - Hardware Focus  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4432454006,,to_apply,
"Senior Reliability Test Engineer - Software Focus  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4432453006,,to_apply,
"Senior Soft Goods Engineer - TeleOp  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4440031006,,to_apply,
"Senior System Modeling Engineer- Battery Management System  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4427747006,,to_apply,
"Teleop Firmware Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4450781006,,to_apply,
"Electrical Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4006355006,,to_apply,
"Power Electronics Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4333397006,,to_apply,
"Senior Electrical Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4313470006,,to_apply,
"Staff PCB Layout Designer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4387841006,,to_apply,
"HMI Lead  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4433610006,,to_apply,
In-Region Support Softgoods Engineer  Asia,Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4451086006,,to_apply,
"Softgoods Developer - Industrial DesignNew  San Jose, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4452508006,,to_apply,
"Staff Security Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4434718006,,to_apply,
Patent Agent  Sunnyvale or Remote,Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4433032006,,to_apply,
"CNC Machinist  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4440430006,,to_apply,
"Fabricator  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4439202006,,to_apply,
"Manufacturing Test Software Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4414646006,,to_apply,
"Operations Manager- Remanufacturing  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4435548006,,to_apply,
"Production Manager  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4434430006,,to_apply,
"Senior Supplier Quality Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4396646006,,to_apply,
"Staff Manufacturing Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4375064006,,to_apply,
"Staff NPI Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4449763006,,to_apply,
"Staff Quality Engineer, Mechanical  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4412607006,,to_apply,
"WMS Integration Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4434868006,,to_apply,
"Camera System Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4352921006,,to_apply,
"Cybersecurity Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4330783006,,to_apply,
"Data Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4441264006,,to_apply,
"DevOps Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4009265006,,to_apply,
"FPGA Design Intern  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4448443006,,to_apply,
"Full-Stack Developer InternNew  San Jose, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4451543006,,to_apply,
"Intern, Embedded Audio Signal ProcessingNew  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4452316006,,to_apply,
"Intern, Embedded SoftwareNew  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4452423006,,to_apply,
"OTA Software EngineerNew  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4451496006,,to_apply,
"Senior Full-Stack Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4313401006,,to_apply,
"Senior Test Automation Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4402299006,,to_apply,
"Software Engineer - Configuration  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4419735006,,to_apply,
"Software Engineer, Developer Tools and Productivity  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4370025006,,to_apply,
"Sr. Embedded Software Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4006360006,,to_apply,
"Sr. Firmware Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4006361006,,to_apply,
"Sr. Motor Controls Firmware Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4318438006,,to_apply,
"Construction Project Manager  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4420437006,,to_apply,
"Maintenance Technician  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4392728006,,to_apply,
"Maintenance Technician (Night Shift)  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4421185006,,to_apply,
"Prototype and Development Technician  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4435887006,,to_apply,
"Prototype Technician  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4420895006,,to_apply,
"Global Supply Manager  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4439007006,,to_apply,
"Global Supply Manager - PCBA  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4438091006,,to_apply,
"Always Works Integration Engineer  San Jose, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4391513006,,to_apply,
"Calibration Integration Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4431424006,,to_apply,
"Embedded Actuation Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4443990006,,to_apply,
"Senior Full-Stack Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4430010006,,to_apply,
"Systems Integration Engineer – Actuator Testing  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4423086006,,to_apply,
"Systems Integration Engineer – Hands  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4391518006,,to_apply,
"Systems Integration Engineer – Power Systems  San Jose, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4433905006,,to_apply,
"Systems Integration Technician  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4448425006,,to_apply,
"Systems Integration & Test – Actuator Test Lab Technician  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4438632006,,to_apply,
"Use Case Integration Engineer  San Jose, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4417265006,,to_apply,
